Business Name,Industry,City,State,ZIP,Street Address,Website,LinkedIn,Employees,Est. Revenue,US Locations,What They Do,Source,Verification Status
Affinity Environmental Group,Environmental Services,Soddy Daisy,TN,37379,9916 Walden Street,affinityenvironmental.com,https://www.linkedin.com/company/affinity-environmental-group,1-10,500K-1M,1,Affinity Environmental Group is an environmental services company based out of United States.,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Complete Backflow Services,"Water, Waste, Steam, And Air Conditioning Services",Soddy Daisy,TN,37379,1779 Ritz Way,completebackflowservices.com,https://www.linkedin.com/company/complete-backflow-services,1-10,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Construction More,Construction,Soddy Daisy,TN,37379,1533 North Winer Drive,more-than-construction.com,https://www.linkedin.com/company/construction-more,11-50,10M-25M,2,"Construction More is a construction company based out of 1533 N Winer Dr, Soddy Daisy, Tennessee, United States.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Cross Cabinets,Construction,Soddy Daisy,TN,37379,11279 Wall Street,crosscabinets.com,https://www.linkedin.com/company/cross-cabinets,1-10,1M-5M,1,Cross Cabinets specializes in building and remodeling cabinets for residential properties.,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Everest Plumbing,Construction,Soddy Daisy,TN,37379,2328 Holly Hill Road,everestplumbing.ca,https://www.linkedin.com/company/everest-plumbing,1-10,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
George Wright Construction,Construction,Soddy Daisy,TN,37379,136 Bean Street,georgewrightconstruction.com,https://www.linkedin.com/company/george-wright-construction,1-10,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Hines Designs Landscaping,Facilities Services,Soddy Daisy,TN,37379,146 Pottery Lane,hineslandscapes.com,https://www.linkedin.com/company/hines-designs-landscaping,1-10,500K-1M,1,"Hines Designs Landscaping can help you with landscape design, construction and its future maintenance. To learn more, just call us today at (423) 314-2982.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Hughes Carpentry,Construction,Soddy Daisy,TN,37379,286 Montlake Road,hughescarpentry.com,https://www.linkedin.com/company/hughes-carpentry,11-50,1M-5M,1,"Hughes Carpentry is a carpenter and cabinet contractor serving Zion, Libertyville, Lake Forest, Highland Park, Lake Zurich, Lincolnwood and more.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Koala Insulation of Chattanooga,Wholesale Building Materials,Soddy Daisy,TN,37379,8494 Gulf View Drive,koalainsulation.com,https://www.linkedin.com/company/koala-insulation-of-chattanooga,1-10,1M-5M,1,"Delivering Efficiency, Improving Comfort. Not having enough insulation in your attic can cost you a fortune! It is our goal to improve the comfort of your home or business and lower your heating and cooling costs in a way that is as effortless to you as possible. Our crews are respectful and clean, ","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Sequoyah Nuclear Plant,Construction,Soddy Daisy,TN,37379,Sequoyah Access Road,tva.gov,https://www.linkedin.com/company/sequoyah-nuclear-plant,11-50,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
US Rope Access Llc dba Top Glass,Facilities Services,Soddy Daisy,TN,37379,8418 Gulf View Drive Suite B,usropeaccess.com,https://www.linkedin.com/company/usropeaccess,1-10,500K-1M,1,"US Rope Access Llc dba Top Glass provides simplified access solutions for previously non-accessible or difficult to reach areas. Offering building maintenance inclusive of pressure washing, painting, window cleaning, and weatherproofing, to inspection and consulting. US Rope Access (USRA) utilizes t","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
